orig_pas_key	chrom	start	end	strand	unified_pas_id	snap_distance_bp	gene_id	gene_distance_bp	tier	last_stage	dropped_at	drop_reason	pas_uid
dsA:-:32	chr2	461479	461480	-	u32	22	ENSDG00000013	500	TIER_2	clustering			chr2:461479:-
dsA:+:33	chr3	480999	481000	+	u33	24	ENSDG00000014	20	TIER_1	clustering			chr3:480999:+
dsA:+:34	chr3	481479	481480	+	u34	5	ENSDG00000014	500	TIER_2	clustering			chr3:481479:+
dsA:-:35	chr4	500999	501000	-	u35	11	ENSDG00000015	20	TIER_1	clustering			chr4:500999:-
dsA:-:36	chr4	501479	501480	-	u36	23	ENSDG00000015	500	TIER_2	clustering			chr4:501479:-
dsA:+:37	chr5	520999	521000	+	u37	9	ENSDG00000016	20	TIER_1	clustering			chr5:520999:+
dsA:+:38	chr5	521239	521240	+	u38	2	ENSDG00000016	260	TIER_1	clustering			chr5:521239:+
dsA:+:39	chr5	521479	521480	+	u39	15	ENSDG00000016	500	TIER_2	clustering			chr5:521479:+
dsA:-:40	chr6	540999	541000	-	u40	19	ENSDG00000017	20	TIER_1	clustering			chr6:540999:-
dsA:-:41	chr6	541479	541480	-	u41	19	ENSDG00000017	500	TIER_2	clustering			chr6:541479:-
dsA:+:42	chr1	560999	561000	+	u42	20	ENSDG00000018	20	TIER_1	clustering			chr1:560999:+
dsA:+:43	chr1	561479	561480	+	u43	16	ENSDG00000018	500	TIER_2	clustering			chr1:561479:+
dsA:-:44	chr2	580999	581000	-	u44	5	ENSDG00000019	20	TIER_1	clustering			chr2:580999:-
dsA:-:45	chr2	581479	581480	-	u45	21	ENSDG00000019	500	TIER_2	clustering			chr2:581479:-
dsA:+:46	chr3	600999	601000	+	u46	11	ENSDG00000020	20	TIER_1	clustering			chr3:600999:+
dsA:+:47	chr3	601239	601240	+	u47	21	ENSDG00000020	260	TIER_1	clustering			chr3:601239:+
dsA:+:48	chr3	601479	601480	+	u48	20	ENSDG00000020	500	TIER_2	clustering			chr3:601479:+
dsA:-:49	chr4	620999	621000	-	u49	24	ENSDG00000021	20	TIER_1	clustering			chr4:620999:-
dsA:-:50	chr4	621479	621480	-	u50	2	ENSDG00000021	500	TIER_2	clustering			chr4:621479:-
dsA:+:51	chr5	640999	641000	+	u51	21	ENSDG00000022	20	TIER_1	clustering			chr5:640999:+
dsA:+:52	chr5	641479	641480	+	u52	16	ENSDG00000022	500	TIER_2	clustering			chr5:641479:+
dsA:-:53	chr6	660999	661000	-	u53	13	ENSDG00000023	20	TIER_1	clustering			chr6:660999:-
dsA:-:54	chr6	661479	661480	-	u54	20	ENSDG00000023	500	TIER_2	clustering			chr6:661479:-
dsA:+:55	chr1	680999	681000	+	u55	23	ENSDG00000024	20	TIER_1	clustering			chr1:680999:+
dsA:+:56	chr1	681239	681240	+	u56	13	ENSDG00000024	260	TIER_1	clustering			chr1:681239:+
dsA:+:57	chr1	681479	681480	+	u57	4	ENSDG00000024	500	TIER_2	clustering			chr1:681479:+
dsA:-:58	chr2	700999	701000	-	u58	18	ENSDG00000025	20	TIER_1	clustering			chr2:700999:-
dsA:-:59	chr2	701479	701480	-	u59	7	ENSDG00000025	500	TIER_2	clustering			chr2:701479:-
dsA:+:60	chr3	720999	721000	+	u60	7	ENSDG00000026	20	TIER_1	clustering			chr3:720999:+
dsA:+:61	chr3	721479	721480	+	u61	6	ENSDG00000026	500	TIER_2	clustering			chr3:721479:+
dsA:-:62	chr4	740999	741000	-	u62	6	ENSDG00000027	20	TIER_1	clustering			chr4:740999:-
dsA:-:63	chr4	741479	741480	-	u63	22	ENSDG00000027	500	TIER_2	clustering			chr4:741479:-
dsA:+:64	chr5	760999	761000	+	u64	10	ENSDG00000028	20	TIER_1	clustering			chr5:760999:+
dsA:+:65	chr5	761239	761240	+	u65	4	ENSDG00000028	260	TIER_1	clustering			chr5:761239:+
dsA:+:66	chr5	761479	761480	+	u66	6	ENSDG00000028	500	TIER_2	clustering			chr5:761479:+
dsA:-:67	chr6	780999	781000	-	u67	11	ENSDG00000029	20	TIER_1	clustering			chr6:780999:-
dsA:-:68	chr6	781479	781480	-	u68	9	ENSDG00000029	500	TIER_2	clustering			chr6:781479:-
dsA:+:69	chr1	800999	801000	+	u69	9	ENSDG00000030	20	TIER_1	clustering			chr1:800999:+
dsA:+:70	chr1	801479	801480	+	u70	23	ENSDG00000030	500	TIER_2	clustering			chr1:801479:+
dsA:-:71	chr2	820999	821000	-	u71	21	ENSDG00000031	20	TIER_1	clustering			chr2:820999:-
dsA:-:72	chr2	821479	821480	-	u72	15	ENSDG00000031	500	TIER_2	clustering			chr2:821479:-
dsA:+:73	chr3	840999	841000	+	u73	24	ENSDG00000032	20	TIER_1	clustering			chr3:840999:+
dsA:+:74	chr3	841239	841240	+	u74	9	ENSDG00000032	260	TIER_1	clustering			chr3:841239:+
dsA:+:75	chr3	841479	841480	+	u75	5	ENSDG00000032	500	TIER_2	clustering			chr3:841479:+
dsA:-:76	chr4	860999	861000	-	u76	8	ENSDG00000033	20	TIER_1	clustering			chr4:860999:-
dsA:-:77	chr4	861479	861480	-	u77	4	ENSDG00000033	500	TIER_2	clustering			chr4:861479:-
dsA:+:78	chr5	880999	881000	+	u78	23	ENSDG00000034	20	TIER_1	clustering			chr5:880999:+
dsA:+:79	chr5	881479	881480	+	u79	7	ENSDG00000034	500	TIER_2	clustering			chr5:881479:+
dsA:-:80	chr6	900999	901000	-	u80	12	ENSDG00000035	20	TIER_1	clustering			chr6:900999:-
dsA:-:81	chr6	901479	901480	-	u81	6	ENSDG00000035	500	TIER_2	clustering			chr6:901479:-
dsA:+:82	chr1	920999	921000	+	u82	24	ENSDG00000036	20	TIER_1	clustering			chr1:920999:+
dsA:+:83	chr1	921239	921240	+	u83	5	ENSDG00000036	260	TIER_1	clustering			chr1:921239:+
dsA:+:84	chr1	921479	921480	+	u84	13	ENSDG00000036	500	TIER_2	clustering			chr1:921479:+
dsA:-:85	chr2	940999	941000	-	u85	23	ENSDG00000037	20	TIER_1	clustering			chr2:940999:-
dsA:-:86	chr2	941479	941480	-	u86	13	ENSDG00000037	500	TIER_2	clustering			chr2:941479:-
dsA:+:87	chr3	960999	961000	+	u87	22	ENSDG00000038	20	TIER_1	clustering			chr3:960999:+
dsA:+:88	chr3	961479	961480	+	u88	22	ENSDG00000038	500	TIER_2	clustering			chr3:961479:+
dsA:-:89	chr4	980999	981000	-	u89	19	ENSDG00000039	20	TIER_1	clustering			chr4:980999:-
dsA:-:90	chr4	981479	981480	-	u90	19	ENSDG00000039	500	TIER_2	clustering			chr4:981479:-
dsA:+:91	chr5	1000999	1001000	+	u91	15	ENSDG00000040	20	TIER_1	clustering			chr5:1000999:+
dsA:+:92	chr5	1001239	1001240	+	u92	15	ENSDG00000040	260	TIER_1	clustering			chr5:1001239:+
dsA:+:93	chr5	1001479	1001480	+	u93	21	ENSDG00000040	500	TIER_2	clustering			chr5:1001479:+
dsA:-:94	chr6	1020999	1021000	-	u94	11	ENSDG00000041	20	TIER_1	clustering			chr6:1020999:-
dsA:-:95	chr6	1021479	1021480	-	u95	23	ENSDG00000041	500	TIER_2	clustering			chr6:1021479:-
dsA:+:96	chr1	1040999	1041000	+	u96	22	ENSDG00000042	20	TIER_1	clustering			chr1:1040999:+
dsA:+:97	chr1	1041479	1041480	+	u97	10	ENSDG00000042	500	TIER_2	clustering			chr1:1041479:+
dsA:-:98	chr2	1060999	1061000	-	u98	11	ENSDG00000043	20	TIER_1	clustering			chr2:1060999:-
dsA:-:99	chr2	1061479	1061480	-	u99	18	ENSDG00000043	500	TIER_2	clustering			chr2:1061479:-
dsA:+:100	chr3	1080999	1081000	+	u100	23	ENSDG00000044	20	TIER_1	clustering			chr3:1080999:+
dsA:+:101	chr3	1081239	1081240	+	u101	4	ENSDG00000044	260	TIER_1	clustering			chr3:1081239:+
dsA:+:102	chr3	1081479	1081480	+	u102	3	ENSDG00000044	500	TIER_2	clustering			chr3:1081479:+
dsA:-:103	chr4	1100999	1101000	-	u103	7	ENSDG00000045	20	TIER_1	clustering			chr4:1100999:-
dsA:-:104	chr4	1101479	1101480	-	u104	11	ENSDG00000045	500	TIER_2	clustering			chr4:1101479:-
dsA:+:105	chr5	1120999	1121000	+	u105	5	ENSDG00000046	20	TIER_1	clustering			chr5:1120999:+
dsA:+:106	chr5	1121479	1121480	+	u106	13	ENSDG00000046	500	TIER_2	clustering			chr5:1121479:+
dsA:-:107	chr6	1140999	1141000	-	u107	14	ENSDG00000047	20	TIER_1	clustering			chr6:1140999:-
dsA:-:108	chr6	1141479	1141480	-	u108	23	ENSDG00000047	500	TIER_2	clustering			chr6:1141479:-
